gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,65.93298358556522,1.8308499914376881,0.33046199797516107,0.33046199797516107,0.04663586489601127,false,0.0,1.8308499914376881,0.03294036908405186,0.03294036908405186,57.411587012508214,46.3090845997458,103.72067161225402,55.35211652613842,8.736347168763437,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,69.70487544124131,1.794752424972863,1.001865649958825,1.0014083046247912,0.13865906091571548,false,0.0,1.794752424972863,0.03229090726689134,0.03229090726689134,57.37548944604339,45.308092264225294,102.68358171026868,55.876011033520136,6.295865161599101,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,73.47676729691742,1.7082315051561423,1.6042928495261586,1.0014083202961044,0.22739806097688925,false,0.0,1.7082315051561423,0.030734236296804697,0.030734236296804697,57.28896852622667,43.89544123144769,101.18440975767436,56.61837496846353,2.7730769237021224,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,77.24865915259352,1.5684675854059478,2.14719683657435,1.0014083371595108,0.313005446747285,false,0.0,1.5684675854059478,0.02821962552981882,0.02821962552981882,57.149204606476474,41.95984731131081,99.10905191778728,57.662951567615394,-2.079186801623234,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,81.0205510082696,1.368277083131538,2.6376236488929594,1.0014083557651294,0.3955115261963984,false,0.0,1.368277083131538,0.02461782906212322,0.02461782906212322,56.949014104202064,39.348497825451275,96.29751192965334,59.13861424146047,-8.600239909274753,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,81.25297730867938,1.3544970139532566,2.6662804962596716,1.0014083565650052,0.4004971339475398,false,0.0,1.3544970139532566,0.024369900194734194,0.024369900194734194,56.93523403502378,39.16086008189431,96.0960941169181,59.24822913796255,-9.065197025003869,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,84.79244286394571,1.149810543616681,3.0822053475922946,1.0014083738677961,0.47506130381946454,false,0.0,1.149810543616681,0.020687212966981536,0.020687212966981536,56.73054756468721,35.828335062655285,92.55888262734248,61.29130554988856,-17.19716093884449,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,88.56433471962181,1.0531486084497956,3.486740953183861,1.0014083949458263,0.5518271987841001,false,0.0,1.0531486084497956,0.01894808642156993,0.01894808642156993,56.63388562952032,31.015277602148082,87.64916323166841,64.61429127375628,-28.480386005574665,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,92.3362265752979,1.2119735746235918,3.8562815315432135,1.0014084198919457,0.6259949090313777,false,0.0,1.2119735746235918,0.021805640579471545,0.021805640579471545,56.79271059569412,24.274685487354752,81.06739608304886,70.05616726299347,-43.81807833347763,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,96.108118430974,2.001830381670814,4.159369289532705,1.0014083754098186,0.9432860885908173,false,0.25149221891994955,2.001830381670814,0.03601662174634217,0.03601662174634217,57.58256740274134,14.763553992772831,72.34612139551417,79.59316448761516,-65.19460729047763,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,58.6173775272264,44.47340734993366,3.2419691359606233,-4.668536129977474,-4.668536129977474,-7.95880915540629,true,0.0,3.2419691359606233,0.05832900586999414,0.05832900586999414,58.82270615703115,45.96352756289586,104.78623371992701,56.13591028975492,11.623478070655867,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,58.6173775272264,48.347363714664525,3.2756855931842566,-3.85271396900344,-3.85271396900344,-6.557504305113127,true,0.0,3.2756855931842566,0.05893562713899335,0.05893562713899335,58.85642261425478,45.97262122777749,104.82904384203226,56.14514876520862,11.737053870540093,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,58.6173775272264,52.22132007939539,3.2882483781128755,-2.990529803593528,-2.990529803593528,-4.822293719146074,true,0.0,3.2882483781128755,0.059161654816961284,0.059161654816961284,58.8689853991834,45.929785888230775,104.79877128741418,56.173354588035394,11.66703844771897,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,58.6173775272264,56.09527644412625,3.2882483781128755,-2.1377896648599335,-2.1377896648599335,-2.99125550501532,true,0.0,3.2882483781128755,0.059161654816961284,0.059161654816961284,58.8689853991834,45.72092886497035,104.58991426415375,56.285527924330324,11.159253688973237,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,58.6173775272264,59.969232808857114,3.2882483781128755,-1.2710408904163004,-1.2710408904163004,-1.300075219598572,true,0.0,3.2882483781128755,0.059161654816961284,0.059161654816961284,58.8689853991834,45.359685758685075,104.22867115786848,56.48060629115987,10.280979448011296,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,58.6173775272264,63.84318917358798,3.288207353358281,-0.4358523793175346,-0.4358523793175346,-0.19051835668512887,true,0.0,3.288207353358281,0.059160916705939495,0.059160916705939495,58.86894437442881,44.80762265543113,103.67656702985994,56.78134033650433,8.938664408054287,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,58.6173775272264,67.71714553831885,3.269396946331298,0.3201447351712357,0.3201447351712357,0.046045048538087656,false,0.0,3.269396946331298,0.058822482780173956,0.058822482780173956,58.850133967401824,43.979627202030485,102.82976116943232,57.23064344225659,6.876720247863322,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,58.6173775272264,71.5911019030497,3.201757184388022,0.9913250317150859,0.9913250317150859,0.13961497062177025,false,0.0,3.201757184388022,0.05760551867410904,0.05760551867410904,58.78249420545855,42.77671440322384,101.55920860868238,57.880023890254286,3.7828795765921353,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,58.6173775272264,75.46505826778058,3.0793127847203934,1.5935906323288815,1.001472200197704,0.22981950200194443,false,0.0,3.0793127847203934,0.05540251802621893,0.05540251802621893,58.66004980579092,41.09686158665832,99.75691139244924,58.80299318311793,-0.5880234649745963,100.0,0.08,0.6,0.27,1.0
