comb_num,m,m_comb_num,gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,c,p,vb,cvml_vb,cvmh_vb,debt_diff,eq_deriv,eq_min_val,sg_debt,debt,sg_equity,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,abs_debt_diff,debt_per_diff,abs_debt_per_diff,eq_deriv_min_val,eq_negative,eq_vb
75,1.0,75,0.02,0.02,0.0,0.005,0.75,0.25,0.15,1.0,2.8795379537953796,33.27391883479485,37.471277485154424,35.61939872213785,35.89067487471253,-0.1419138166106677,-8.963798835881391e-5,0.0010006278266436951,33.27391964709521,33.13200501818418,72.03985716636909,71.95940606621697,105.09141108440116,31.526843798467187,7.614122549637847,100.0,0.08,0.6,0.27,1.0,0.1419138166106677,-0.0042650166130196576,0.0042650166130196576,-8.963798835881391e-5,false,0.0
76,1.0,76,0.02,0.02,0.0,0.001,0.1,0.275,0.15,1.0,3.732223222322232,46.157030924254045,50.880761085153374,48.654264594856464,48.92464139968697,-0.003162500999543738,-0.00010123152932258254,0.0018870730706962281,46.15703052097775,46.1538684232545,61.71974187388526,61.714649073528314,107.86851749678281,42.78715374449366,14.61296710900768,100.0,0.08,0.6,0.27,1.0,0.003162500999543738,-6.851612714720661e-5,6.851612714720661e-5,-0.00010123152932258254,false,0.0
77,1.0,77,0.02,0.02,0.0,0.0025,0.1,0.275,0.15,1.0,3.726972697269727,45.25380726974827,50.13828118098981,48.00740659312804,48.16298580069143,-0.0031464025360250503,-6.790925036494041e-5,0.001788162072532327,45.25380667426179,45.25066086721225,62.03432043631447,62.03098843145321,107.28164929866546,42.17931133891987,13.29997660977189,100.0,0.08,0.6,0.27,1.0,0.0031464025360250503,-6.952790772431626e-5,6.952790772431626e-5,-6.790925036494041e-5,false,0.0
78,1.0,78,0.02,0.02,0.0,0.003,0.1,0.275,0.15,1.0,3.723822382238224,44.94351223525365,49.87838889788527,47.779334201680975,47.89757004948529,-0.0031569438115539583,-8.305536228225911e-5,0.001778765922674668,44.943512700732,44.940355291442096,62.15147093183264,62.14782530349058,107.08818059493268,41.965747332501266,12.873640272202769,100.0,0.08,0.6,0.27,1.0,0.0031569438115539583,-7.024248116233458e-5,7.024248116233458e-5,-8.305536228225911e-5,false,0.0
79,1.0,79,0.02,0.02,0.0,0.004,0.1,0.275,0.15,1.0,3.7143714371437144,44.29590267694281,49.32515934923411,47.29014830747874,47.33519211324305,-0.003153598232870536,-0.00010557879704172049,0.001760435231335565,44.295902820713046,44.29274907870994,62.41671498505248,62.41250191173121,106.70525099044116,41.50943713414606,12.036585685973167,100.0,0.08,0.6,0.27,1.0,0.003153598232870536,-7.119390377638849e-5,7.119390377638849e-5,-0.00010557879704172049,false,0.0
80,1.0,80,0.02,0.02,0.0,0.005,0.1,0.275,0.15,1.0,3.6986198619861987,43.58164259372684,48.69247449129403,46.7231090616922,46.69746144518864,-0.0028294342488450752,-4.131222427745268e-5,0.0016770099617020692,43.58164269423095,43.578813159477995,62.75457763320535,62.751439584201954,106.33025274367995,40.984397229384214,11.219637689601969,100.0,0.08,0.6,0.27,1.0,0.0028294342488450752,-6.492261604780232e-5,6.492261604780232e-5,-4.131222427745268e-5,false,0.0
81,1.0,81,0.02,0.02,0.0,0.001,0.2,0.275,0.15,1.0,3.097959795979598,37.03133441725168,41.29913524470384,38.93519422791376,39.21313441068016,0.0012293179774545138,3.1379591827579876e-5,0.001444406435570569,37.031284601022996,37.03256373522913,69.73851032292869,69.74809280476002,106.78065653998915,34.68096651134609,10.76851296831789,100.0,0.08,0.6,0.27,1.0,0.0012293179774545138,3.319669671103764e-5,3.319669671103764e-5,3.1379591827579876e-5,false,0.0
82,1.0,82,0.02,0.02,0.0,0.0025,0.2,0.275,0.15,1.0,3.073807380738074,35.961953220163906,40.28777881188511,38.042823149131216,38.232280012667985,-0.00036140081270019664,9.449785455687253e-5,0.0013710487726055918,35.96190950045827,35.961591819351206,70.32209766765033,70.32856865184353,106.29016047119472,33.83341568018143,9.822480992111092,100.0,0.08,0.6,0.27,1.0,0.00036140081270019664,-1.0049532362373433e-5,1.0049532362373433e-5,9.449785455687253e-5,false,0.0
83,1.0,83,0.02,0.02,0.0,0.003,0.2,0.275,0.15,1.0,3.0654065406540654,35.61614326142924,39.96049831116382,37.75401376972682,37.914839786929576,-0.000675792760397087,8.874272897322334e-5,0.0013647382658570294,35.61610502826615,35.61546746866884,70.50868688835075,70.51405979234477,106.1295272610136,33.55849063670717,9.520186013668464,100.0,0.08,0.6,0.27,1.0,0.000675792760397087,-1.8974338558687844e-5,1.8974338558687844e-5,8.874272897322334e-5,false,0.0
84,1.0,84,0.02,0.02,0.0,0.004,0.2,0.275,0.15,1.0,3.0517551755175516,34.99086877047088,39.37785216754494,37.24391756564505,37.34840470206516,-0.0010879897967228658,2.415221090694204e-5,0.0013490056719933656,34.99084127606861,34.98978078067416,70.81987455086174,70.82302712459025,105.8128079052644,33.0676233561451,8.941375640733739,100.0,0.08,0.6,0.27,1.0,0.0010879897967228658,-3.109353482646394e-5,3.109353482646394e-5,2.415221090694204e-5,false,0.0
