comb_num,m,m_comb_num,gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,c,p,vb,cvml_vb,cvmh_vb,debt_diff,eq_deriv,eq_min_val,sg_debt,debt,sg_equity,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,abs_debt_diff,debt_per_diff,abs_debt_per_diff,eq_vb
906,1.0,182,0.02,0.0195,0.0005,0.005,NaN,NaN,0.3,1.0,2.1783428342834283,25.62831523795929,27.551684272120564,NaN,NaN,-4.1364350437333997e-5,NaN,NaN,25.62827432837473,25.62827387360885,75.33024152595225,75.33025876167844,100.95853263528728,25.384950835399913,1.2888401079441225,100.0,0.08,0.6,0.27,1.0,4.1364350437333997e-5,-1.6140097409160684e-6,1.6140097409160684e-6,-2.3092638912203256e-14
911,1.0,183,0.02,0.0195,0.0005,0.01,NaN,NaN,0.3,1.0,2.0497049704970496,22.774784272988846,24.7938017565018,NaN,NaN,-1.3909161701519679e-5,NaN,NaN,22.7747711360373,22.774770363827145,77.17419523231453,77.17419652912338,99.94896689295052,22.786398971206843,-0.0660834642899788,100.0,0.08,0.6,0.27,1.0,1.3909161701519679e-5,-6.107263864631246e-7,6.107263864631246e-7,4.085620730620576e-14
916,1.0,184,0.02,0.0195,0.0005,0.015000000000000001,NaN,NaN,0.3,1.0,1.845109510951095,19.422513607125033,21.40896340765658,NaN,NaN,-1.4273122008745531e-5,NaN,NaN,19.42249916055815,19.422499334003025,79.63308030646947,79.6330935827244,99.05559291672742,19.607675611341648,-1.1720481219531176,100.0,0.08,0.6,0.27,1.0,1.4273122008745531e-5,-7.348751195370264e-7,7.348751195370264e-7,2.1316282072803006e-14
921,1.0,185,0.02,0.01925,0.00075,0.0025,NaN,NaN,0.3,1.0,2.231023102310231,27.042729264187187,29.07405604724668,NaN,NaN,-2.6966494491631465e-5,NaN,NaN,27.04269977487584,27.042702297692696,73.22802906860045,73.22798837181988,100.27069066951258,26.969697842038563,0.37102617289512807,100.0,0.08,0.6,0.27,1.0,2.6966494491631465e-5,-9.971809512342129e-7,9.971809512342129e-7,7.851497230149107e-13
926,1.0,186,0.02,0.01925,0.00075,0.005,NaN,NaN,0.3,1.0,2.1893689368936893,25.75815841799224,27.869201130210225,NaN,NaN,-4.85454163516863e-5,NaN,NaN,25.758109883186417,25.75810987257589,73.96852823387387,73.96856000276318,99.72666987533907,25.828707511014056,-0.36816159204972054,100.0,0.08,0.6,0.27,1.0,4.85454163516863e-5,-1.884661766726965e-6,1.884661766726965e-6,-2.2026824808563106e-13
931,1.0,187,0.02,0.01925,0.00075,0.01,NaN,NaN,0.3,1.0,2.063181318131813,22.924488235549365,25.117248676416434,NaN,NaN,-1.2822237572152062e-5,NaN,NaN,22.92447621835003,22.924475413311793,75.78975660787343,75.78975608425826,98.71423149757005,23.22307033700212,-1.6681929955388308,100.0,0.08,0.6,0.27,1.0,1.2822237572152062e-5,-5.593249210365541e-7,5.593249210365541e-7,2.0961010704922955e-13
936,1.0,188,0.02,0.01925,0.00075,0.015000000000000001,NaN,NaN,0.3,1.0,1.8585858585858586,19.564241498135477,21.70394797580797,NaN,NaN,-8.386380006442096e-6,NaN,NaN,19.564232973178015,19.56423311175547,78.25284218082041,78.25284191855201,97.81707503030748,20.000836362867854,-2.713873509436948,100.0,0.08,0.6,0.27,1.0,8.386380006442096e-6,-4.28658581383865e-7,4.28658581383865e-7,6.039613253960852e-14
941,1.0,189,0.02,0.019,0.001,0.0025,NaN,NaN,0.3,1.0,2.243274327432743,27.191595495522563,29.423098606029455,NaN,NaN,-4.6901893455242316e-5,NaN,NaN,27.191544931408547,27.191548593629108,71.84961888637105,71.84961169637896,99.04116029000807,27.454796080748633,-1.3169346298004592,100.0,0.08,0.6,0.27,1.0,4.6901893455242316e-5,-1.7248672834576883e-6,1.7248672834576883e-6,-5.080380560684716e-13
946,1.0,190,0.02,0.019,0.001,0.005,NaN,NaN,0.3,1.0,2.2016201620162015,25.902293963037618,28.20638523897324,NaN,NaN,-5.126015786061089e-5,NaN,NaN,25.902242755168345,25.902242702879757,72.59379171366484,72.59381463027991,98.49605733315967,26.29774572119803,-2.0296736658435677,100.0,0.08,0.6,0.27,1.0,5.126015786061089e-5,-1.9789813957697628e-6,1.9789813957697628e-6,3.730349362740526e-14
951,1.0,191,0.02,0.019,0.001,0.01,NaN,NaN,0.3,1.0,2.0754325432543252,23.06067286643111,25.42997623051379,NaN,NaN,-1.5865078562882218e-5,NaN,NaN,23.060657969768087,23.060657001352546,74.41982846514311,74.41983325991444,97.480490261267,23.65668959967828,-3.274670201924257,100.0,0.08,0.6,0.27,1.0,1.5865078562882218e-5,-6.879711903799931e-7,6.879711903799931e-7,-5.684341886080802e-14
956,1.0,192,0.02,0.019,0.001,0.015000000000000001,NaN,NaN,0.3,1.0,1.8732873287328733,19.719009005635606,22.01731679484103,NaN,NaN,-9.118341754543735e-6,NaN,NaN,19.71899975664546,19.71899988729385,76.86028195044642,76.86028552160349,96.57928540889733,20.41742160734319,-4.260926727744218,100.0,0.08,0.6,0.27,1.0,9.118341754543735e-6,-4.6241379330663897e-7,4.6241379330663897e-7,1.5987211554602254e-14
961,1.0,193,0.02,0.0185,0.0015,0.0025,NaN,NaN,0.3,1.0,2.267776777677768,27.48854613471586,30.1340220836957,NaN,NaN,-5.852024017016788e-5,NaN,NaN,27.488480895087342,27.48848761447569,69.09809976722202,69.09808432885768,96.58657194333337,28.459947445492716,-4.7074291300371,100.0,0.08,0.6,0.27,1.0,5.852024017016788e-5,-2.1288954273307834e-6,2.1288954273307834e-6,-1.7763568394002505e-15
966,1.0,194,0.02,0.0185,0.0015,0.005,NaN,NaN,0.3,1.0,2.2285728572857284,26.2195579371145,28.925998061445387,NaN,NaN,-6.559864019450856e-5,NaN,NaN,26.219491263162833,26.219492338474307,69.81927673909995,69.8193106649462,96.03880300342051,27.300936203401534,-5.3688936578639606,100.0,0.08,0.6,0.27,1.0,6.559864019450856e-5,-2.501897261267395e-6,2.501897261267395e-6,9.769962616701378e-14
971,1.0,195,0.02,0.0185,0.0015,0.01,NaN,NaN,0.3,1.0,2.106060606060606,23.401049071907988,26.14370968882705,NaN,NaN,-2.0013886373959622e-5,NaN,NaN,23.401030167352854,23.401029058021614,71.61534276318311,71.61535666096435,95.01638571898596,24.628414226606047,-6.506111269809345,100.0,0.08,0.6,0.27,1.0,2.0013886373959622e-5,-8.552559465372636e-7,8.552559465372636e-7,6.217248937900877e-14
976,1.0,196,0.02,0.0185,0.0015,0.015000000000000001,NaN,NaN,0.3,1.0,1.905140514051405,20.054307760111218,22.685534409344456,NaN,NaN,-9.31548640892288e-6,NaN,NaN,20.05429828611465,20.05429844462481,74.05196737921929,74.05197464168116,94.10627308630596,21.310267410369953,-7.372162353984335,100.0,0.08,0.6,0.27,1.0,9.31548640892288e-6,-4.6451298745159064e-7,4.6451298745159064e-7,5.861977570020827e-14
981,1.0,197,0.02,0.018000000000000002,0.002,0.0025,NaN,NaN,0.3,1.0,2.2984048404840483,27.85753793146978,30.943781099417766,NaN,NaN,1.0250922482413216e-5,NaN,NaN,27.857538976528584,27.85754818239226,66.28143463866321,66.28134945008124,94.1388976324735,29.591963452929487,-8.124345957002788,100.0,0.08,0.6,0.27,1.0,1.0250922482413216e-5,3.6797661400051705e-7,3.6797661400051705e-7,5.933031843596837e-13
986,1.0,198,0.02,0.018000000000000002,0.002,0.005,NaN,NaN,0.3,1.0,2.2604260426042604,26.592417707786844,29.726813580244627,NaN,NaN,6.981560325414193e-7,NaN,NaN,26.592414893072974,26.592418405942876,66.99567347225297,66.99565165148333,93.58807005742621,28.414325019872305,-8.734697157075233,100.0,0.08,0.6,0.27,1.0,6.981560325414193e-7,2.625395104022392e-8,2.625395104022392e-8,-3.019806626980426e-14
991,1.0,199,0.02,0.018000000000000002,0.002,0.01,NaN,NaN,0.3,1.0,2.1403640364036405,23.782171206867293,26.92253395974498,NaN,NaN,-2.107117838789918e-5,NaN,NaN,23.782151359484036,23.782150135688905,68.77523348074506,68.77524346303252,92.55739359872143,25.694489884617305,-9.764912569074657,100.0,0.08,0.6,0.27,1.0,2.107117838789918e-5,-8.860073457807212e-7,8.860073457807212e-7,-2.4868995751603507e-14
